KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
G46.1;Sindrom sprednje možganske arterije (I66.1†);Anterior cerebral artery syndrome (I66.1+)
G46.2;Sindrom zadnje možganske arterije (I66.2†);Posterior cerebral artery syndrome (I66.2+)
G46.3;Sindrom inzulta v možganskem deblu (I60-I67†);Brain stem stroke syndrome (I60-I67+)
G46.4;Sindrom cerebelarnega inzulta (I60-I67†);Cerebellar stroke syndrome (I60-I67+)
G46.5;Čisti motorični lakunarni sindrom ( (I60-I67†);Pure motor lacunar syndrome (I60-I67+)
G46.6;Čisti senzorični lakunarni sindrom (I60-I67†);Pure sensory lacunar syndrome (I60-I67+)
G46.7;Drugi lakunarni sindromi (I60-I67†);Other lacunar syndromes (I60-I67+)
G46.8;Drugi možganski žilni sindromi pri cerebrovaskularnih boleznih (I60-I67†);Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+)
G47;Motnje spanja;Sleep disorders
G47.0;Motnje uspavanja in vzdrževanja spanja [insomnije];Disorders of initiating and maintaining sleep [insomnias]
G47.1;Motnje s povečano zaspanostjo [hipersomnije];Disorders of excessive somnolence [hypersomnias]
G47.2;Motnje v razporeditvi spanja in budnosti;Disorders of the sleep-wake schedule
G47.3;Apneja v spanju;Sleep apnoea
G47.30;Apneja v spanju, neopredeljena;Sleep apnoea, unspecified
G47.31;Sindrom centralne apneje v spanju;Central sleep apnoea syndrome
G47.32;Sindrom obstruktivne apneje;Obstructive sleep apnoea syndrome
G47.33;Sindrom hipoventilacije v spanju;Sleep hypoventilation syndrome
G47.39;Druge apneje v spanju;Other sleep apnoea
G47.4;Narkolepsija in katapleksija;Narcolepsy and cataplexy
G47.8;Druge motnje spanja;Other sleep disorders
G47.9;Motnja spanja, neopredeljena;Sleep disorder, unspecified
G50;Okvare trigeminusa;Disorders of trigeminal nerve
G50.0;Nevralgija trigeminusa;Trigeminal neuralgia
G50.1;Atipična obrazna bolečina;Atypical facial pain
G50.8;Druge okvare trigeminusa;Other disorders of trigeminal nerve
G50.9;Okvara trigeminusa, neopredeljena;Disorder of trigeminal nerve, unspecified
G51;Okvare facialisa (obraznega živca);Facial nerve disorders
G51.0;Bellova paraliza;Bell's palsy
G51.1;Ganglionitis geniculi;Geniculate ganglionitis
G51.2;Melkerssonov sindrom;Melkersson's syndrome
G51.3;Klonični hemifacialni spazem;Clonic hemifacial spasm
G51.4;Obrazna miokimija;Facial myokymia
G51.8;Druge okvare facialisa;Other disorders of facial nerve
G51.9;Okvara facialisa, neopredeljena;Disorder of facial nerve, unspecified
G52;Okvare drugih možganskih živcev;Disorders of other cranial nerves
G52.0;Okvare olfaktornega živca;Disorders of olfactory nerve
G52.1;Okvare glosofaringikusa;Disorders of glossopharyngeal nerve
G52.2;Okvare vagusa;Disorders of vagus nerve
G52.3;Okvare hipoglosusa;Disorders of hypoglossal nerve
G52.7;Multiple okvare možganskih živcev;Disorders of multiple cranial nerves
G52.8;Okvare drugih opredeljenih možganskih živcev;Disorders of other specified cranial nerves
G52.9;Okvara možganskega živca, neopredeljena;Cranial nerve disorder, unspecified
G53;Okvare možganskih živcev pri boleznih, uvrščenih drugje ;Cranial nerve disorders in diseases classified elsewhere
G53.0;Nevralgija po zostru (B02.2†);Postzoster neuralgia (B02.2+)
G53.1;Multiple okvare možganskih živcev pri infekcijskih in parazitskih boleznih, uvrščenih drugje (A00-B94.9, B99†);Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere (A00-B94.9, B99+)
G53.2;Multiple okvare možganskih živcev pri sarkoidozi (D86.8†);Multiple cranial nerve palsies in sarcoidosis (D86.8+)
G53.3;Multiple okvare možganskih živcev pri neoplazmah (C00-D48†);Multiple cranial nerve palsies in neoplastic disease (C00-D48+)
G53.8;Druge okvare možganskih živcev pri drugih boleznih, uvrščenih drugje;Other cranial nerve disorders in other diseases classified elsewhere
G54;Okvare živčnih korenin in pletežev;Nerve root and plexus disorders
G54.0;Okvare brahialnega pleteža;Brachial plexus disorders
G54.1;Okvare lumbosakralnega pleteža;Lumbosacral plexus disorders
G54.2;Okvare cervikalnih korenin, ki niso uvrščene drugje;Cervical root disorders, not elsewhere classified
G54.3;Okvare torakalnih korenin, ki niso uvrščene drugje;Thoracic root disorders, not elsewhere classified
G54.4;Okvare lumbosakralnih korenin, ki niso uvrščene drugje;Lumbosacral root disorders, not elsewhere classified
G54.5;Nevralgična amiotrofija;Neuralgic amyotrophy
G54.6;Sindrom bolečega fantomskega uda;Phantom limb syndrome with pain
G54.7;Sindrom nebolečega fantomskega uda;Phantom limb syndrome without pain
G54.8;Druge okvare živčnih korenin in pletežev;Other nerve root and plexus disorders
G54.9;Okvara korenine in pleteža, neopredeljena;Nerve root and plexus disorder, unspecified
G55;Kompresijske okvare živčnih korenin in pletežev pri boleznih, uvrščenih drugje;Nerve root and plexus compressions in diseases classified elsewhere
G55.0;Kompresijske okvare živčnih korenin in pletežev pri neoplazmah (C00-D48†);Nerve root and plexus compressions in neoplastic disease (C00-D48+)
G55.1;Kompresijske okvare živčnih korenin in pletežev pri okvarah medvretenčne ploščice (diskusa) (M50-M51†);Nerve root and plexus compressions in intervertebral disc disorders (M50-M51+)
G55.2;Kompresijske okvare živčnih korenin in pletežev pri spondilozi (M47.-†);Nerve root and plexus compressions in spondylosis (M47.-+)
G55.3;Kompresijske okvare živčnih korenin in pletežev pri drugih dorzopatijah (M45-M46†, M48.-†, M53-M54†);Nerve root and plexus compressions in other dorsopathies (M45-M46+, M48.-+, M53-M54+)
G55.8;Kompresijske okvare živčnih korenin in pletežev pri boleznih, uvrščenih drugje;Nerve root and plexus compressions in other diseases classified elsewhere
G56;Mononevropatije na zgornjem udu;Mononeuropathies of upper limb
G56.0;Sindrom karpalnega kanala;Carpal tunnel syndrome
G56.1;Druge okvare medianega živca;Other lesions of median nerve
G56.2;Okvara ulnarnega živca;Lesion of ulnar nerve
G56.3;Okvara radialnega živca;Lesion of radial nerve
G56.4;Kavzalgija;Causalgia of upper limb
G56.8;Druge mononevropatije na zgornjem udu;Other mononeuropathies of upper limb
G56.9;Mononevropatija na zgornjem udu, neopredeljena;Mononeuropathy of upper limb, unspecified
G57;Mononevropatije na spodnjem udu;Mononeuropathies of lower limb
G57.0;Okvara ishiadičnega živca;Lesion of sciatic nerve
G57.1;Meralgia paraesthetica;Meralgia paraesthetica
G57.2;Okvara femoralnega živca;Lesion of femoral nerve
G57.3;Okvara lateralnega poplitealnega živca;Lesion of lateral popliteal nerve
G57.4;Okvara medialnega poplitealnega živca;Lesion of medial popliteal nerve
G57.5;Sindrom tarzalnega kanala;Tarsal tunnel syndrome
G57.6;Okvara plantarnega živca;Lesion of plantar nerve
G57.7;Kavzalgija spodnje okončine;Causalgia of lower limb
G57.8;Druge mononevropatije na spodnjem udu;Other mononeuropathies of lower limb
G57.9;Mononevropatija na spodnjem udu, neopredeljena;Mononeuropathy of lower limb, unspecified
G58;Druge mononevropatije;Other mononeuropathies
G58.0;Interkostalna nevropatija;Intercostal neuropathy
G58.1;Kompleksni regionalni bolečinski sindrom I.;Complex regional pain syndrome type I
G58.10;Kompleksni regionalni bolečinski sindrom I, neopredeljeno področje;Complex regional pain syndrome type I, unspecified site
G58.11;Kompleksni regionalni bolečinski sindrom I, zgornjega uda;Complex regional pain syndrome type I, upper limb
G58.12;Kompleksni regionalni bolečinski sindrom I, spodnjega uda;Complex regional pain syndrome type I, lower limb
G58.19;Kompleksni regionalni bolečinski sindrom I, drugo opredeljeno področje;Complex regional pain syndrome type I, other specified site
G58.7;Mononeuritis multiplex;Mononeuritis multiplex
G58.8;Druge opredeljene mononevropatije;Other specified mononeuropathies
G58.9;Mononevropatija, neopredeljena;Mononeuropathy, unspecified
G59;Mononevropatija pri boleznih, uvrščenih drugje;Mononeuropathy in diseases classified elsewhere
G60;Hereditarna in idiopatska nevropatija;Hereditary and idiopathic neuropathy
G60.0;Hereditarna motorična in senzorična nevropatija;Hereditary motor and sensory neuropathy
G60.1;Refsumova bolezen;Refsum's disease
G60.2;Nevropatija v zvezi s hereditarno ataksijo;Neuropathy in association with hereditary ataxia
G60.3;Idiopatska progresivna nevropatija;Idiopathic progressive neuropathy
G60.8;Druge hereditarne in idiopatske nevropatije;Other hereditary and idiopathic neuropathies
G60.9;Hereditarna in idiopatska nevropatija, neopredeljena;Hereditary and idiopathic neuropathy, unspecified
G61;Vnetna polinevropatija;Inflammatory polyneuropathy
G61.0;Guillain-Barréjev sindrom;Guillain-Barre syndrome
G61.1;Serumska nevropatija;Serum neuropathy
G61.8;Druge vnetne polinevropatije;Other inflammatory polyneuropathies
G61.9;Vnetna polinevropatija, neopredeljena;Inflammatory polyneuropathy, unspecified
G62;Druge polinevropatije;Other polyneuropathies
G62.0;Polinevropatija, ki jo povzroči zdravilo;Drug-induced polyneuropathy
G62.1;Alkoholna polinevropatija;Alcoholic polyneuropathy
G62.2;Polinevropatija zaradi drugih toksičnih snovi;Polyneuropathy due to other toxic agents
G62.8;Druge opredeljene polinevropatije;Other specified polyneuropathies
G62.9;Polinevropatija, neopredeljena;Polyneuropathy, unspecified
G63;Polinevropatija pri boleznih, uvrščenih drugje;Polyneuropathy in diseases classified elsewhere
G63.0;Polinevropatija pri infekcijskih in parazitskih boleznih, uvrščenih drugje;Polyneuropathy in infectious and parasitic diseases classified elsewhere
G63.1;Polinevropatija pri neoplazmah (C00-D48†);Polyneuropathy in neoplastic disease (C00-D48+)
G63.3;Polinevropatija pri drugih endokrinih in presnovnih (metaboličnih) boleznih (E00-E07†, E15-E16†, E20-E34†, E70-E89†);Polyneuropathy in endocrine and metabolic diseases (E00-E07+, E15-E16+, E20-E34+, E70-E89+)
G63.4;Polinevropatija pri pomanjkljivi prehrani (E40-E64†);Polyneuropathy in nutritional deficiency (E40-E64+)
G63.5;Polinevropatija pri sistemskih vezivnotkivnih boleznih (M30-M35†);Polyneuropathy in systemic connective tissue disorders (M30-M35+)
G63.6;Polinevropatija pri drugih mišičnoskeletnih motnjah (M00-M25†, M40-M96†);Polyneuropathy in other musculoskeletal disorders (M00-M25+, M40-M96+)
G63.8;Polinevropatija pri drugih boleznih, uvrščenih drugje;Polyneuropathy in other diseases classified elsewhere
G64;Druge okvare perifernega živčevja;Other disorders of peripheral nervous system
G70;Myasthenia gravis in druge živčnomišične motnje;Myasthenia gravis and other myoneural disorders
G70.0;Myasthenia gravis;Myasthenia gravis
G70.1;Toksične živčnomišične motnje;Toxic myoneural disorders
G70.2;Prirojena in razvojna miastenija;Congenital and developmental myasthenia
G70.8;Druge opredeljene živčnomišične motnje;Other specified myoneural disorders
G70.9;Živčnomišična motnja, neopredeljena;Myoneural disorder, unspecified
G71;Primarne mišične bolezni;Primary disorders of muscles
G71.0;Mišična distrofija;Muscular dystrophy
G71.1;Miotonične motnje;Myotonic disorders
G71.2;Prirojene miopatije;Congenital myopathies
G71.3;Mitohondrijska miopatija, ki ni uvrščena drugje;Mitochondrial myopathy, not elsewhere classified
G71.8;Druge primarne mišične motnje;Other primary disorders of muscles
G71.9;Primarna mišična motnja, neopredeljena;Primary disorder of muscle, unspecified
G72;Druge miopatije;Other myopathies
G72.0;Miopatija, povzročena z zdravili;Drug-induced myopathy
G72.1;Alkoholna miopatija;Alcoholic myopathy
G72.2;Miopatija zaradi drugih toksičnih snovi;Myopathy due to other toxic agents
G72.3;Periodične paralize;Periodic paralysis
G72.4;Vnetna miopatija, ki ni uvrščena drugje;Inflammatory myopathy, not elsewhere classified
G72.8;Druge opredeljene miopatije;Other specified myopathies
G72.9;Miopatija, neopredeljena;Myopathy, unspecified
G73;Motnje živčnomišičnega stika in mišic pri boleznih, uvrščenih drugje;Disorders of myoneural junction and muscle in diseases classified elsewhere
G73.0;Miastenični sindromi pri endokrinih boleznih;Myasthenic syndromes in endocrine diseases
G73.1;Eaton-Lambertov sindrom (C80†);Eaton-Lambert syndrome (C80+)
G73.2;Drugi miastenični sindromi pri neoplazmah (C00-D48†);Other myasthenic syndromes in neoplastic disease (C00-D48+)
G73.3;Miastenični sindromi pri drugih boleznih, uvrščenih drugje;Myasthenic syndromes in other diseases classified elsewhere
G73.4;Miopatije pri infekcijskih in parazitskih boleznih, uvrščenih drugje;Myopathy in infectious and parasitic diseases classified elsewhere
G73.5;Miopatija pri endokrinih boleznih;Myopathy in endocrine diseases
G73.6;Miopatija pri metaboličnih boleznih;Myopathy in metabolic diseases
G73.7;Miopatija pri drugih boleznih, uvrščenih drugje;Myopathy in other diseases classified elsewhere
G80;Cerebralna paraliza;Cerebral palsy
G80.0;Spastična cerebralna paraliza;Spastic cerebral palsy
G80.00;Spastična cerebralna paraliza, neopredeljena;Spastic cerebral palsy, unspecified
G80.01;Spastična diplegična cerebralna paraliza;Spastic diplegic cerebral palsy
G80.02;Spastična hemiplegična cerebralna paraliza;Spastic hemiplegic cerebral palsy
G80.03;Spastična kvadriplegična cerebralna paraliza;Spastic quadriplegic cerebral palsy
G80.09;Druge spastične cerebralne paralize;Other spastic cerebral palsy
G80.3;Diskinetična cerebralna paraliza;Dyskinetic cerebral palsy
G80.4;Ataktična cerebralna paraliza;Ataxic cerebral palsy
G80.8;Druge cerebralne paralize;Other cerebral palsy
G80.9;Cerebralna paraliza, neopredeljena;Cerebral palsy, unspecified
G81;Hemiplegija;Hemiplegia
G81.0;Flakcidna hemiplegija;Flaccid hemiplegia
G81.1;Spastična hemiplegija;Spastic hemiplegia
G81.9;Hemiplegija, neopredeljena;Hemiplegia, unspecified
G82;Paraplegija in tetraplegija;Paraplegia and tetraplegia
G82.0;Flakcidna paraplegija;Flaccid paraplegia
G82.00;Flakcidna paraplegija, neopredeljena;Flaccid paraplegia, unspecified
G82.01;Flakcidna paraplegija, neopredeljena, akutna;Flaccid paraplegia, unspecified, acute
G82.02;Flakcidna paraplegija, neopredeljena, kronična;Flaccid paraplegia, unspecified, chronic
G82.03;Flakcidna paraplegija, popolna, akutna;Flaccid paraplegia, complete, acute
G82.04;Flakcidna paraplegija, popolna, kronična;Flaccid paraplegia, complete, chronic
G82.05;Flakcidna paraplegija, nepopolna, akutna;Flaccid paraplegia, incomplete, acute
G82.06;Flakcidna paraplegija, nepopolna, kronična;Flaccid paraplegia, incomplete, chronic
G82.1;Spastična paraplegija;Spastic paraplegia
G82.10;Spastična paraplegija, neopredeljena;Spastic paraplegia, unspecified
G82.11;Spastična paraplegija, neopredeljena, akutna;Spastic paraplegia, unspecified, acute
G82.12;Spastična paraplegija, neopredeljana, kronična;Spastic paraplegia, unspecified chronic
G82.13;Spastična paraplegija, popolna, akutna;Spastic paraplegia, complete, acute
G82.14;Spastična paraplegija, popolna, kronična;Spastic paraplegia, complete, chronic
G82.15;Spastična paraplegija, nepopolna, akutna;Spastic paraplegia, incomplete, acute
G82.16;Spastična paraplegija, nepopolna, kronična;Spastic paraplegia, incomplete, chronic
G82.2;Paraplegija, neopredeljena;Paraplegia, unspecified
G82.20;Paraplegija, neopredeljena, neopredeljena;Paraplegia, unspecified, unspecified
G82.21;Paraplegija, neopredeljena, akutna;Paraplegia, unspecified, acute
G82.22;Paraplegija, neopredeljena, kronična;Paraplegia, unspecified, chronic
G82.23;Paraplegija, neopredeljena, popolna, akutna;Paraplegia, unspecified, complete, acute
G82.24;Paraplegija, neopredeljena, popolna, kronična;Paraplegia, unspecified, complete, chronic
G82.25;Paraplegija, neopredeljena, nepopolna, akutna;Paraplegia, unspecified, incomplete, acute
G82.26;Paraplegija, neopredeljena, nepopolna, kronična;Paraplegia, unspecified, incomplete, chronic
G82.3;Flakcidna tetraplegija;Flaccid tetraplegia
G82.30;Flakcidna tetraplegija, neopredeljena;Flaccid tetraplegia, unspecified
G82.31;Flakcidna tetraplegija, neopredeljena, akutna;Flaccid tetraplegia, unspecified, acute
G82.32;Flakcidna tetraplegija, neopredeljena, kronična;Flaccid tetraplegia, unspecified, chronic
G82.33;Flakcidna tetraplegija, popolna, akutna;Flaccid tetraplegia, complete, acute
G82.34;Flakcidna tetraplegija, popolna, kronična;Flaccid tetraplegia, complete, chronic
G82.35;Flakcidna tetraplegija, nepopolna, akutna;Flaccid tetraplegia, incomplete, acute
G82.36;Flakcidna tetraplegija, nepopolna, kronična;Flaccid tetraplegia, incomplete, chronic
G82.4;Spastična tetraplegija;Spastic tetraplegia
G82.40;Spastična tetraplegija, neopredeljena;Spastic tetraplegia, unspecified
G82.41;Spastična tetraplegija, neopredeljena, akutna;Spastic tetraplegia, unspecified, acute
G82.42;Spastična tetraplegija, neopredeljena, kronična;Spastic tetraplegia, unspecified, chronic
G82.43;Spastična tetraplegija, popolna, akutna;Spastic tetraplegia, complete, acute
G82.44;Spastična tetraplegija, popolna, kronična;Spastic tetraplegia, complete, chronic
G82.45;Spastična tetraplegija, nepopolna, akutna;Spastic tetraplegia, incomplete, acute
G82.46;Spastična tetraplegija, nepopolna, kronična;Spastic tetraplegia, incomplete, chronic
G82.5;Tetraplegija, neopredeljena;Tetraplegia, unspecified
G82.50;Tetraplegija, neopredeljena, neopredeljena;Tetraplegia, unspecified, unspecified
G82.51;Tetraplegija, neopredeljena, akutna;Tetraplegia, unspecified, acute
G82.52;Tetraplegija, neopredeljena, kronična;Tetraplegia, unspecified, chronic
G82.53;Tetraplegija, neopredeljena, popolna, akutna;Tetraplegia, unspecified, complete, acute
G82.54;Tetraplegija, neopredeljena, popolna, kronična;Tetraplegia, unspecified, complete, chronic
G82.55;Tetraplegija, neopredeljena, nepopolna, akutna;Tetraplegia, unspecified, incomplete, acute
G82.56;Tetraplegija, neopredeljena, nepopolna, kronična;Tetraplegia, unspecified, incomplete, chronic
G83;Drugi paralitični sindromi;Other paralytic syndromes
G83.0;Diplegija zgornjih udov;Diplegia of upper limbs
G83.1;Monoplegija spodnjega uda;Monoplegia of lower limb
G83.2;Monoplegija zgornjega uda;Monoplegia of upper limb
G83.3;Monoplegija, neopredeljena;Monoplegia, unspecified
G83.4;Sindrom kavde ekvine;Cauda equina syndrome
G83.8;Drugi opredeljeni paralitični sindromi;Other specified paralytic syndromes
G83.9;Paralitični sindrom, neopredeljen;Paralytic syndrome, unspecified
G90;Motnje avtonomnega živčevja;Disorders of autonomic nervous system
G90.0;Idiopatska periferna avtonomna nevropatija;Idiopathic peripheral autonomic neuropathy
G90.1;Familiarna disavtonomija [Riley-Day];Familial dysautonomia [Riley-Day]
G90.2;Hornerjev sindrom;Horner's syndrome
G90.3;Multisistemska degeneracija;Multi-system degeneration
G90.4;Disrefleksija avtonomnega živčevja;Autonomic dysreflexia
G90.8;Druge motnje avtonomnega živčevja  ;Other disorders of autonomic nervous system
G90.9;Motnja avtonomnega živčevja, neopredeljena;Disorder of autonomic nervous system, unspecified
G91;Hidrocefalus;Hydrocephalus
G91.0;Komunikantni hidrocefalus;Communicating hydrocephalus
G91.1;Obstruktivni hidrocefalus;Obstructive hydrocephalus
G91.2;Normotenzivni hidrocefalus;Normal-pressure hydrocephalus
G91.3;Popoškodbeni hidrocefalus, neopredeljen;Post traumatic hydrocephalus, unspecified
G91.8;Druge vrste hidrocefalus;Other hydrocephalus
G91.9;Hidrocefalus, neopredeljen;Hydrocephalus, unspecified
G92;Toksična encefalopatija;Toxic encephalopathy
G93;Druge možganske motnje;Other disorders of brain
G93.0;Možganske ciste;Cerebral cysts
G93.1;Anoksične možganske okvare, ki niso uvrščene drugje;Anoxic brain damage, not elsewhere classified
G93.2;Benigna intrakranialna hipertenzija;Benign intracranial hypertension
G93.3;Sindrom utrujenosti po preboleli virozi;Postviral fatigue syndrome
G93.4;Encefalopatija, neopredeljena;Encephalopathy, unspecified
G93.5;Kompresivna okvara možganov;Compression of brain
G93.6;Možganski edem;Cerebral oedema
G93.7;Reyev sindrom;Reye's syndrome
G93.8;Druge opredeljene možganske okvare;Other specified disorders of brain
G93.9;Možganska okvara, neopredeljena;Disorder of brain, unspecified
G94;Druge možganske motnje pri boleznih, uvrščenih drugje;Other disorders of brain in diseases classified elsewhere
G94.0;Hidrocefalus pri infekcijskih in parazitskih boleznih, uvrščenih drugje (A00-B94.9, B99†);Hydrocephalus in infectious and parasitic diseases classified elsewhere (A00-B94.9, B99+)
G94.1;Hidrocefalus pri neoplazmah (C00-D48†);Hydrocephalus in neoplastic disease (C00-D48+)
G94.2;Hidrocefalus pri drugih boleznih, uvrščenih drugje;Hydrocephalus in other diseases classified elsewhere
G94.8;Druge opredeljene možganske okvare pri boleznih, uvrščenih drugje;Other specified disorders of brain in diseases classified elsewhere
G95;Druge bolezni hrbtenjače ;Other diseases of spinal cord
G95.0;Siringomielija in siringobulbija;Syringomyelia and syringobulbia
G95.1;Vaskularne mielopatije;Vascular myelopathies
G95.2;Kompresija hrbtenjače, neopredeljena ;Cord compression, unspecified
G95.8;Druge opredeljene bolezni hrbtenjače;Other specified diseases of spinal cord
G95.9;Bolezen hrbtenjače, neopredeljena;Disease of spinal cord, unspecified
G96;Druge motnje centralnega živčevja;Other disorders of central nervous system
G96.0;Izgubljanje (odtekanje) cerebrospinalne tekočine;Cerebrospinal fluid leak
G96.1;Motnje mening, ki niso uvrščene drugje;Disorders of meninges, not elsewhere classified
G96.8;Druge opredeljene motnje centralnega živčevja;Other specified disorders of central nervous system
G96.9;Motnja centralnega živčevja, neopredeljena;Disorder of central nervous system, unspecified
G97;Motnje po posegih na živčevju, ki niso uvrščene drugje;Postprocedural disorders of nervous system, not elsewhere classified
G97.0;Izgubljanje (odtekanje) cerebrospinalne tekočine po spinalni punkciji;Cerebrospinal fluid leak from spinal puncture
G97.1;Druge motnje po spinalni in lumbalni punkciji;Other reaction to spinal and lumbar puncture
G97.2;Intrakranialna hipotenzija po operativnem odvodu cerebrospinalne tekočine iz ventriklov;Intracranial hypotension following ventricular shunting
G97.8;Druge motnje po posegih na živčevju;Other postprocedural disorders of nervous system
G97.9;Motnja po posegih na živčevju, neopredeljena;Postprocedural disorder of nervous system, unspecified
G98;Druge motnje živčevja, ki niso uvrščene drugje  ;Other disorders of nervous system, not elsewhere classified
G99;Druge motnje živčevja pri boleznih, uvrščenih drugje;Other disorders of nervous system in diseases classified elsewhere
G99.0;Avtonomna nevropatija pri endokrinih in metaboličnih boleznih;Autonomic neuropathy in endocrine and metabolic diseases
G99.1;Druge motnje avtonomnega živčevja pri drugih boleznih, uvrščenih drugje;Other disorders of autonomic nervous system in other diseases classified elsewhere
G99.2;Mielopatija pri boleznih, uvrščenih drugje ;Myelopathy in diseases classified elsewhere
G99.8;Druge opredeljene motnje živčevja pri boleznih, uvrščenih drugje;Other specified disorders of nervous system in diseases classified elsewhere
H00;Hordeolum (ječmen) in halacij;Hordeolum and chalazion
H00.0;Hordeolum (ječmen) in druge vrste globoko vnetje veke;Hordeolum and other deep inflammation of eyelid
H00.1;Halacij;Chalazion
H01;Druge vrste vnetje veke;Other inflammation of eyelid
H01.0;Blefaritis (vnetje veke);Blepharitis
H01.1;Neinfektivne dermatoze veke;Noninfectious dermatoses of eyelid
H01.8;Druge vrste opredeljeno vnetje veke;Other specified inflammation of eyelid
H01.9;Vnetje veke, neopredeljeno;Inflammation of eyelid, unspecified
H02;Druge okvare veke;Other disorders of eyelid
H02.0;Entropij (uvih) in trihiaza veke;Entropion and trichiasis of eyelid
H02.1;Ektropij (izvih) veke;Ectropion of eyelid
H02.2;Lagoftalmus;Lagophthalmos
H02.3;Blefarohalaza;Blepharochalasis
H02.4;Ptoza (povešenost) veke;Ptosis of eyelid
H02.5;Druge okvare, ki vplivajo na delovanje veke;Other disorders affecting eyelid function
H02.6;Ksantelazma veke;Xanthelasma of eyelid
H02.7;Druge degenerativne okvare veke in predela okrog oči;Other degenerative disorders of eyelid and periocular area
H02.8;Druge opredeljene okvare veke;Other specified disorders of eyelid
H02.9;Okvara veke, neopredeljena;Disorder of eyelid, unspecified
H03;Okvare veke pri boleznih, uvrščenih drugje;Disorders of eyelid in diseases classified elsewhere
H03.0;Infestacija veke (s paraziti) pri boleznih, uvrščenih drugje;Parasitic infestation of eyelid in diseases classified elsewhere
H03.1;Prizadetost veke pri drugih infekcijskih boleznih, uvrščenih drugje;Involvement of eyelid in other infectious diseases classified elsewhere
H03.8;Prizadetost veke pri drugih boleznih, uvrščenih drugje;Involvement of eyelid in other diseases classified elsewhere
H04;Okvare solzil;Disorders of lacrimal system
H04.0;Dakrioadenitis;Dacryoadenitis
H04.1;Druge okvare solzne žleze;Other disorders of lacrimal gland
H04.2;Epifora (solzenje);Epiphora
H04.3;Akutno in neopredeljeno vnetje solznih poti;Acute and unspecified inflammation of lacrimal passages
H04.4;Kronično vnetje solznih poti;Chronic inflammation of lacrimal passages
H04.5;Stenoza in insuficienca solznih poti;Stenosis and insufficiency of lacrimal passages
H04.6;Druge spremembe v solznih poteh;Other changes in lacrimal passages
H04.8;Druge okvare solzil;Other disorders of lacrimal system
H04.9;Okvara solzil, neopredeljena;Disorder of lacrimal system, unspecified
H05;Okvare očnice (orbite);Disorders of orbit
H05.0;Akutno vnetje očnice;Acute inflammation of orbit
H05.1;Kronične vnetne okvare očnice;Chronic inflammatory disorders of orbit
H05.2;Eksoftalmična stanja;Exophthalmic conditions
H05.3;Deformacija očnice;Deformity of orbit
H05.4;Enoftalmus;Enophthalmos
H05.5;Zaostali (stari) tujek kot posledica penetrantne poškodbe očnice;Retained (old) foreign body following penetrating wound of orbit
H05.8;Druge okvare očnice;Other disorders of orbit
H05.9;Okvara očnice, neopredeljena;Disorder of orbit, unspecified
H06;Okvare solzil in očnice pri boleznih, uvrščenih drugje;Disorders of lacrimal system and orbit in diseases classified elsewhere
H06.0;Okvare solzil pri boleznih, uvrščenih drugje;Disorders of lacrimal system in diseases classified elsewhere
H06.1;Infestacija očnice (s paraziti) pri boleznih, uvrščenih drugje;Parasitic infestation of orbit in diseases classified elsewhere
H06.2;Distiroidni eksoftalmus (E05.-†);Dysthyroid exophthalmos (E05.-+)
H06.3;Druge okvare očnice pri boleznih, uvrščenih drugje;Other disorders of orbit in diseases classified elsewhere
H10;Vnetje veznice (konjunktivitis);Conjunctivitis
H10.0;Mukopurulentni konjunktivitis;Mucopurulent conjunctivitis
H10.1;Akutni atopični konjunktivitis;Acute atopic conjunctivitis
H10.2;Druge vrste akutni konjunktivitis;Other acute conjunctivitis
H10.3;Akutni konjunktivitis, neopredeljen;Acute conjunctivitis, unspecified
H10.4;Kronični konjunktivitis;Chronic conjunctivitis
H10.5;Blefarokonjunktivitis;Blepharoconjunctivitis
H10.8;Druge vrste konjunktivitis;Other conjunctivitis
H10.9;Konjunktivitis, neopredeljen;Conjunctivitis, unspecified
H11;Druge okvare veznice;Other disorders of conjunctiva
H11.0;Pterigij;Pterygium
H11.1;Veznične degeneracije in depoziti;Conjunctival degenerations and deposits
H11.2;Veznične brazgotine;Conjunctival scars
H11.3;Veznične krvavitve;Conjunctival haemorrhage
H11.4;Druge žilne okvare veznice in ciste;Other conjunctival vascular disorders and cysts
H11.8;Druge opredeljene okvare veznice ;Other specified disorders of conjunctiva
H11.9;Okvara veznice, neopredeljena;Disorder of conjunctiva, unspecified
H13;Okvare veznice pri boleznih, uvrščenih drugje;Disorders of conjunctiva in diseases classified elsewhere
H13.0;Infekcija veznice s filarijo (B74.-†);Filarial infection of conjunctiva (B74.-+)
H13.1;Konjunktivitis pri infekcijskih boleznih in infestacijah (s paraziti) uvrščenih drugje  ;Conjunctivitis in infectious and parasitic diseases classified elsewhere
H13.2;Konjunktivitis pri drugih boleznih, uvrščenih drugje;Conjunctivitis in other diseases classified elsewhere
H13.3;Očesni pemfigoid (L12.-†);Ocular pemphigoid (L12.-+)
H13.8;Druge okvare veznice pri boleznih, uvrščene drugje;Other disorders of conjunctiva in diseases classified elsewhere
H15;Okvare beločnice;Disorders of sclera
H15.0;Skleritis ;Scleritis
